Borough,Neighborhood,Latitude,Longitude
Bronx,Wakefield,40.894705176609996,-73.84720052054901
Bronx,Co-op City,40.87429419303012,-73.829939108124
Bronx,Eastchester,40.887555677350775,-73.82780644716412
Bronx,Fieldston,40.89543742690383,-73.90564259591682
Bronx,Riverdale,40.890834493891305,-73.9125854610857
Bronx,Kingsbridge,40.88168737120521,-73.90281798724605
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
Bronx,Woodlawn,40.898272612138044,-73.86731496814177
Bronx,Norwood,40.87722415599446,-73.8793907395681
Bronx,Williamsbridge,40.88103887819211,-73.85744642974205
Bronx,Baychester,40.866858107252696,-73.83579759808117
Bronx,Pelham Parkway,40.857413498088654,-73.85475564017999
Bronx,City Island,40.847246704918135,-73.78648845267412
Bronx,Bedford Park,40.870185164975325,-73.8855121841913
Bronx,University Heights,40.85572707719664,-73.91041596191309
Bronx,Morris Heights,40.847897926062714,-73.91967159119567
Bronx,Fordham,40.86099679638654,-73.89642655981623
Bronx,East Tremont,40.84269615786053,-73.88735617532338
Bronx,West Farms,40.839475056726535,-73.87774474910546
Bronx,High  Bridge,40.836623010706056,-73.92610209358129
Bronx,Melrose,40.819754370594936,-73.90942160757436
Bronx,Mott Haven,40.80623874935177,-73.91609987487574
Bronx,Port Morris,40.80166362775621,-73.91322139386133
Bronx,Longwood,40.81509904545822,-73.8957882009446
Bronx,Hunts Point,40.80972987938709,-73.88331505955291
Bronx,Morrisania,40.823591985855344,-73.90150648943059
Bronx,Soundview,40.821012197914015,-73.86574609554923
Bronx,Clason Point,40.80655112003589,-73.85414416189265
Bronx,Throgs Neck,40.815109258040046,-73.81635002158441
Bronx,Country Club,40.844245936947374,-73.8240992675385
Bronx,Parkchester,40.83793782226729,-73.85600310535783
Bronx,Westchester Square,40.8406194964327,-73.84219407604444
Bronx,Van Nest,40.84360847124718,-73.86629918075609
Bronx,Morris Park,40.847549063536334,-73.8504017803042
Bronx,Belmont,40.857277100738955,-73.88845196134805
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393
Bronx,North Riverdale,40.90854282950666,-73.90453054908927
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047
Bronx,Schuylerville,40.826579516869224,-73.82620275994074
